Precinct,DeWayne Davis_votes,Omar Fateh_votes,Exhausted_votes,Total_votes
Minneapolis W-1 P-01,190,206,194,590
Minneapolis W-1 P-02,166,235,196,597
Minneapolis W-1 P-03,163,349,125,637
Minneapolis W-1 P-04,411,792,387,1590
Minneapolis W-1 P-05,407,500,455,1362
Minneapolis W-1 P-06,615,586,591,1792
Minneapolis W-1 P-07,635,637,558,1830
Minneapolis W-1 P-08,236,403,234,873
Minneapolis W-1 P-09,397,648,338,1383
Minneapolis W-1 P-10,418,385,433,1236
Minneapolis W-1 P-11,246,717,185,1148
Minneapolis W-10 P-01,566,1231,346,2143
Minneapolis W-10 P-02,247,708,161,1116
Minneapolis W-10 P-03,423,623,544,1590
Minneapolis W-10 P-04,301,666,253,1220
Minneapolis W-10 P-05,406,715,282,1403
Minneapolis W-10 P-06,277,874,199,1350
Minneapolis W-10 P-07,201,494,129,824
Minneapolis W-10 P-08,100,415,121,636
Minneapolis W-10 P-09,179,709,197,1085
Minneapolis W-11 P-01,461,337,486,1284
Minneapolis W-11 P-02,492,348,720,1560
Minneapolis W-11 P-03,359,366,409,1134
Minneapolis W-11 P-04,421,249,463,1133
Minneapolis W-11 P-05,362,248,432,1042
Minneapolis W-11 P-06,405,327,278,1010
Minneapolis W-11 P-07,466,286,402,1154
Minneapolis W-11 P-08,619,449,736,1804
Minneapolis W-11 P-09,417,286,528,1231
Minneapolis W-11 P-10,410,259,367,1036
Minneapolis W-11 P-11,298,176,255,729
Minneapolis W-11 P-12,375,333,377,1085
Minneapolis W-12 P-01,946,527,596,2069
Minneapolis W-12 P-02,739,474,395,1608
Minneapolis W-12 P-03,435,394,285,1114
Minneapolis W-12 P-04,598,622,419,1639
Minneapolis W-12 P-05,371,323,235,929
Minneapolis W-12 P-06,659,515,473,1647
Minneapolis W-12 P-07,825,586,532,1943
Minneapolis W-12 P-08,581,360,392,1333
Minneapolis W-12 P-09,442,350,327,1119
Minneapolis W-12 P-10,667,347,597,1611
Minneapolis W-12 P-11,526,538,521,1585
Minneapolis W-12 P-12,155,198,218,571
Minneapolis W-13 P-01,476,258,751,1485
Minneapolis W-13 P-02,364,173,586,1123
Minneapolis W-13 P-03,376,285,526,1187
Minneapolis W-13 P-04,374,199,633,1206
Minneapolis W-13 P-05,398,160,664,1222
Minneapolis W-13 P-06,304,151,374,829
Minneapolis W-13 P-07,584,396,771,1751
Minneapolis W-13 P-08,506,319,612,1437
Minneapolis W-13 P-09,467,271,595,1333
Minneapolis W-13 P-10,469,202,880,1551
Minneapolis W-13 P-11,647,303,1021,1971
Minneapolis W-13 P-12,269,154,403,826
Minneapolis W-13 P-13,349,315,366,1030
Minneapolis W-2 P-01,72,404,95,571
Minneapolis W-2 P-02,66,317,49,432
Minneapolis W-2 P-03,137,524,134,795
Minneapolis W-2 P-04,34,323,40,397
Minneapolis W-2 P-05,571,599,347,1517
Minneapolis W-2 P-06,109,736,113,958
Minneapolis W-2 P-07,70,310,78,458
Minneapolis W-2 P-08,567,519,278,1364
Minneapolis W-2 P-09,152,178,133,463
Minneapolis W-3 P-01,355,593,272,1220
Minneapolis W-3 P-02,388,482,413,1283
Minneapolis W-3 P-03,169,230,149,548
Minneapolis W-3 P-04,174,257,137,568
Minneapolis W-3 P-05,291,337,465,1093
Minneapolis W-3 P-06,302,254,473,1029
Minneapolis W-3 P-07,714,726,1083,2523
Minneapolis W-3 P-08,202,420,174,796
Minneapolis W-3 P-09,132,473,105,710
Minneapolis W-3 P-10,395,411,698,1504
Minneapolis W-3 P-11,286,317,759,1362
Minneapolis W-3 P-12,239,334,528,1101
Minneapolis W-4 P-01,195,195,256,646
Minneapolis W-4 P-02,283,307,401,991
Minneapolis W-4 P-03,587,613,632,1832
Minneapolis W-4 P-04,142,241,211,594
Minneapolis W-4 P-05,153,230,294,677
Minneapolis W-4 P-06,218,286,200,704
Minneapolis W-4 P-07,257,396,303,956
Minneapolis W-4 P-08,116,153,168,437
Minneapolis W-4 P-09,31,32,35,98
Minneapolis W-5 P-01,110,193,164,467
Minneapolis W-5 P-02,227,325,295,847
Minneapolis W-5 P-03,128,254,237,619
Minneapolis W-5 P-04,255,328,269,852
Minneapolis W-5 P-05,183,220,193,596
Minneapolis W-5 P-06,199,220,262,681
Minneapolis W-5 P-07,91,304,111,506
Minneapolis W-5 P-08,127,272,151,550
Minneapolis W-5 P-09,99,248,109,456
Minneapolis W-6 P-01,139,253,174,566
Minneapolis W-6 P-02,165,461,325,951
Minneapolis W-6 P-03,51,1474,191,1716
Minneapolis W-6 P-04,137,427,120,684
Minneapolis W-6 P-05,56,479,133,668
Minneapolis W-6 P-06,75,359,128,562
Minneapolis W-6 P-07,59,699,142,900
Minneapolis W-6 P-08,144,268,95,507
Minneapolis W-6 P-09,190,798,255,1243
Minneapolis W-7 P-01,349,273,318,940
Minneapolis W-7 P-02,286,121,782,1189
Minneapolis W-7 P-03,427,538,672,1637
Minneapolis W-7 P-04,408,402,902,1712
Minneapolis W-7 P-05,265,462,373,1100
Minneapolis W-7 P-06,188,339,212,739
Minneapolis W-7 P-07,276,153,402,831
Minneapolis W-7 P-08,568,710,764,2042
Minneapolis W-7 P-09,405,529,605,1539
Minneapolis W-7 P-10,82,227,89,398
Minneapolis W-7 P-11,86,78,116,280
Minneapolis W-7 P-12,194,359,325,878
Minneapolis W-8 P-01,82,372,293,747
Minneapolis W-8 P-02,523,896,274,1693
Minneapolis W-8 P-03,612,715,337,1664
Minneapolis W-8 P-04,944,750,607,2301
Minneapolis W-8 P-05,122,320,129,571
Minneapolis W-8 P-06,100,226,69,395
Minneapolis W-8 P-07,378,474,226,1078
Minneapolis W-8 P-08,429,411,330,1170
Minneapolis W-8 P-09,323,214,235,772
Minneapolis W-8 P-10,350,429,172,951
Minneapolis W-8 P-11,361,353,220,934
Minneapolis W-9 P-01,77,190,49,316
Minneapolis W-9 P-02,494,965,211,1670
Minneapolis W-9 P-03,154,556,211,921
Minneapolis W-9 P-04,104,294,111,509
Minneapolis W-9 P-05,161,325,74,560
Minneapolis W-9 P-06,416,719,292,1427
Minneapolis W-9 P-07,254,394,195,843
Minneapolis W-9 P-08,312,474,209,995
Minneapolis W-9 P-09,513,377,286,1176
