pct_num,pct_name,omar22_votes,omar22_pct,ush_22_total,biden24_votes,uncommitted24_votes,phillips24_votes,biden24_pct,uncommitted24_pct,phillips24_pct,pres_24_total,omar24_votes,omar24_pct,ush_24_total,frey25_votes,fateh25_votes,davis25_votes,hampton25_votes,frey25_pct,fateh25_pct,davis25_pct,hampton25_pct,mayor_25_total
1360,MINNEAPOLIS W-1 P-01,164,55.59,317,88,54,11,55.7,34.18,6.96,188,198,64.71,315,253,153,106,59,42.88,25.93,17.97,10.0,590
1365,MINNEAPOLIS W-1 P-02,140,56.68,263,65,50,7,52.0,40.0,5.6,156,181,68.3,269,212,199,87,70,35.69,33.5,14.65,11.78,594
1370,MINNEAPOLIS W-1 P-03,166,72.17,245,36,63,3,34.62,60.58,2.88,121,212,77.66,275,163,316,88,51,25.79,50.0,13.92,8.07,632
1375,MINNEAPOLIS W-1 P-04,462,70.75,700,150,207,16,39.27,54.19,4.19,449,556,75.54,748,479,675,211,164,30.3,42.69,13.35,10.37,1581
1380,MINNEAPOLIS W-1 P-05,417,60.09,755,231,131,14,60.0,34.03,3.64,485,480,66.57,745,595,380,197,142,43.75,27.94,14.49,10.44,1360
1385,MINNEAPOLIS W-1 P-06,597,60.67,1041,272,171,33,56.2,35.33,6.82,591,665,67.38,999,771,446,301,212,43.17,24.97,16.85,11.87,1786
1390,MINNEAPOLIS W-1 P-07,652,61.51,1111,263,230,29,49.53,43.31,5.46,642,709,67.72,1061,761,512,333,180,41.68,28.04,18.24,9.86,1826
1395,MINNEAPOLIS W-1 P-08,280,65.88,442,110,106,9,47.01,45.3,3.85,275,314,74.76,424,314,334,131,74,36.09,38.39,15.06,8.51,870
1400,MINNEAPOLIS W-1 P-09,427,69.32,650,135,175,16,39.59,51.32,4.69,407,511,74.49,699,454,534,212,140,32.92,38.72,15.37,10.15,1379
1405,MINNEAPOLIS W-1 P-10,376,53.49,736,210,113,23,60.17,32.38,6.59,425,386,60.98,648,575,292,228,105,46.56,23.64,18.46,8.5,1235
1410,MINNEAPOLIS W-1 P-11,345,76.67,470,112,157,14,37.84,53.04,4.73,340,354,76.46,469,252,643,123,97,22.03,56.21,10.75,8.48,1144
1415,MINNEAPOLIS W-2 P-01,81,76.42,113,6,37,4,12.5,77.08,8.33,57,63,75.9,88,145,369,26,25,25.39,64.62,4.55,4.38,571
1420,MINNEAPOLIS W-2 P-02,96,85.71,117,11,38,7,18.97,65.52,12.07,61,56,71.79,78,83,299,20,21,19.26,69.37,4.64,4.87,431
1425,MINNEAPOLIS W-2 P-03,215,75.97,293,72,115,8,36.18,57.79,4.02,232,245,79.03,312,164,485,76,54,20.73,61.31,9.61,6.83,791
1430,MINNEAPOLIS W-2 P-04,24,75.0,33,2,15,0,11.76,88.24,0.0,22,15,93.75,18,53,304,16,12,13.38,76.77,4.04,3.03,396
1435,MINNEAPOLIS W-2 P-05,420,55.19,775,321,162,31,60.57,30.57,5.85,578,560,65.88,854,613,524,256,93,40.68,34.77,16.99,6.17,1507
1440,MINNEAPOLIS W-2 P-06,118,78.15,156,23,68,3,22.77,67.33,2.97,120,93,80.17,122,144,680,60,37,15.09,71.28,6.29,3.88,954
1445,MINNEAPOLIS W-2 P-07,70,53.85,140,48,56,7,39.34,45.9,5.74,140,106,72.6,148,92,285,36,26,20.26,62.78,7.93,5.73,454
1450,MINNEAPOLIS W-2 P-08,582,63.12,939,253,213,14,50.91,42.86,2.82,544,666,74.83,900,407,463,376,101,29.84,33.94,27.57,7.4,1364
1455,MINNEAPOLIS W-2 P-09,144,48.16,303,101,50,1,64.33,31.85,0.64,184,173,59.86,293,194,154,58,45,42.08,33.41,12.58,9.76,461
1460,MINNEAPOLIS W-3 P-01,419,72.74,592,125,171,18,38.11,52.13,5.49,367,438,77.66,571,385,499,175,138,31.58,40.94,14.36,11.32,1219
1465,MINNEAPOLIS W-3 P-02,395,62.2,676,186,148,25,49.73,39.57,6.68,451,415,64.44,663,542,411,176,126,42.38,32.13,13.76,9.85,1279
1470,MINNEAPOLIS W-3 P-03,211,61.16,356,97,83,16,46.86,40.1,7.73,239,213,71.72,302,189,196,90,58,34.55,35.83,16.45,10.6,547
1475,MINNEAPOLIS W-3 P-04,212,72.11,311,57,90,5,34.97,55.21,3.07,194,212,77.94,275,183,218,95,65,32.22,38.38,16.73,11.44,568
1480,MINNEAPOLIS W-3 P-05,230,51.0,477,133,45,9,68.91,23.32,4.66,239,245,50.31,505,595,247,111,112,54.59,22.66,10.18,10.28,1090
1485,MINNEAPOLIS W-3 P-06,216,42.02,535,130,63,11,61.32,29.72,5.19,271,243,45.68,538,645,169,85,122,62.74,16.44,8.27,11.87,1028
1490,MINNEAPOLIS W-3 P-07,550,41.6,1363,433,174,54,63.77,25.63,7.95,816,642,48.42,1344,1424,567,265,235,56.51,22.5,10.52,9.33,2520
1495,MINNEAPOLIS W-3 P-08,263,68.67,401,124,143,8,43.51,50.18,2.81,318,301,72.53,415,230,371,117,50,29.04,46.84,14.77,6.31,792
1500,MINNEAPOLIS W-3 P-09,217,73.31,302,61,128,6,29.61,62.14,2.91,233,251,79.68,315,148,429,76,46,20.85,60.42,10.7,6.48,710
1505,MINNEAPOLIS W-3 P-10,293,40.81,761,245,89,16,67.31,24.45,4.4,490,343,45.55,779,885,279,153,149,59.08,18.62,10.21,9.95,1498
1510,MINNEAPOLIS W-3 P-11,234,29.47,820,273,63,16,76.04,17.55,4.46,452,296,39.57,762,915,218,88,116,67.53,16.09,6.49,8.56,1355
1515,MINNEAPOLIS W-3 P-12,188,34.37,572,140,75,15,59.32,31.78,6.36,297,260,44.44,594,663,247,84,86,60.44,22.52,7.66,7.84,1097
1520,MINNEAPOLIS W-4 P-01,142,45.66,344,97,35,10,66.9,24.14,6.9,189,183,63.32,307,332,152,65,56,51.63,23.64,10.11,8.71,643
1525,MINNEAPOLIS W-4 P-02,241,49.28,550,151,85,12,57.63,32.44,4.58,356,303,59.88,527,477,215,118,90,48.52,21.87,12.0,9.16,983
1530,MINNEAPOLIS W-4 P-03,528,50.82,1111,309,157,28,60.12,30.54,5.45,643,620,60.96,1041,808,461,287,182,44.4,25.33,15.77,10.0,1820
1535,MINNEAPOLIS W-4 P-04,170,61.15,311,81,70,9,48.5,41.92,5.39,209,202,70.63,299,242,179,73,58,40.95,30.29,12.35,9.81,591
1540,MINNEAPOLIS W-4 P-05,159,52.13,324,110,53,10,60.11,28.96,5.46,223,203,64.65,325,339,176,61,38,50.98,26.47,9.17,5.71,665
1545,MINNEAPOLIS W-4 P-06,200,56.34,371,83,68,4,52.53,43.04,2.53,194,222,66.67,338,285,232,109,62,40.71,33.14,15.57,8.86,700
1550,MINNEAPOLIS W-4 P-07,286,57.66,536,116,80,11,53.46,36.87,5.07,286,277,63.68,440,381,326,112,77,39.85,34.1,11.72,8.05,956
1555,MINNEAPOLIS W-4 P-08,93,51.38,198,50,37,3,54.95,40.66,3.3,118,128,65.31,203,216,113,41,35,49.88,26.1,9.47,8.08,433
1560,MINNEAPOLIS W-4 P-09,27,42.86,65,20,6,1,74.07,22.22,3.7,31,27,49.09,56,51,24,11,11,52.04,24.49,11.22,11.22,98
1565,MINNEAPOLIS W-5 P-01,117,50.65,244,72,29,8,62.61,25.22,6.96,139,161,67.08,246,203,143,41,41,44.23,31.15,8.93,8.93,459
1570,MINNEAPOLIS W-5 P-02,227,56.75,413,111,66,7,58.73,34.92,3.7,217,276,66.99,418,370,260,108,59,44.52,31.29,13.0,7.1,831
1575,MINNEAPOLIS W-5 P-03,114,51.35,242,54,37,8,50.47,34.58,7.48,131,162,64.29,259,256,204,55,37,41.63,33.17,8.94,6.02,615
1580,MINNEAPOLIS W-5 P-04,215,57.95,381,121,73,3,60.5,36.5,1.5,224,274,70.62,393,376,264,110,70,44.44,31.21,13.0,8.27,846
1585,MINNEAPOLIS W-5 P-05,180,54.55,343,113,56,6,60.75,30.11,3.23,215,208,65.41,322,262,175,80,48,44.18,29.51,13.49,8.09,593
1590,MINNEAPOLIS W-5 P-06,157,48.61,334,103,28,5,72.54,19.72,3.52,176,187,59.74,316,355,162,76,53,52.28,23.86,11.19,7.81,679
1595,MINNEAPOLIS W-5 P-07,69,52.27,136,39,46,5,41.49,48.94,5.32,106,179,81.36,224,153,270,35,25,30.66,54.11,7.01,5.01,499
1600,MINNEAPOLIS W-5 P-08,155,61.02,262,79,37,11,58.96,27.61,8.21,159,172,68.25,259,216,231,46,29,40.0,42.78,8.52,5.37,540
1605,MINNEAPOLIS W-5 P-09,119,58.91,207,68,44,11,52.71,34.11,8.53,152,151,72.6,210,124,207,42,61,27.31,45.59,9.25,13.44,454
1610,MINNEAPOLIS W-6 P-01,110,57.89,207,56,50,4,48.28,43.1,3.45,142,186,72.09,260,229,203,62,60,40.6,35.99,10.99,10.64,564
1615,MINNEAPOLIS W-6 P-02,227,54.83,445,148,81,11,58.73,32.14,4.37,336,361,66.36,563,371,395,60,65,39.47,42.02,6.38,6.91,940
1620,MINNEAPOLIS W-6 P-03,325,86.44,384,41,155,2,19.81,74.88,0.97,226,923,95.55,970,181,1428,19,14,10.93,86.23,1.15,0.85,1656
1625,MINNEAPOLIS W-6 P-04,276,76.45,372,73,91,9,41.24,51.41,5.08,205,284,79.55,360,149,391,82,30,21.88,57.42,12.04,4.41,681
1630,MINNEAPOLIS W-6 P-05,187,66.79,302,40,31,6,48.78,37.8,7.32,100,216,81.2,270,137,461,24,15,20.92,70.38,3.66,2.29,655
1635,MINNEAPOLIS W-6 P-06,173,62.45,286,52,66,4,41.27,52.38,3.17,146,184,77.31,247,152,335,31,19,27.44,60.47,5.6,3.43,554
1640,MINNEAPOLIS W-6 P-07,204,78.16,274,44,65,3,36.67,54.17,2.5,144,362,86.6,426,167,666,27,8,18.81,75.0,3.04,0.9,888
1645,MINNEAPOLIS W-6 P-08,206,72.03,291,79,81,4,44.89,46.02,2.27,184,239,81.57,296,125,249,91,25,24.85,49.5,18.09,4.97,503
1650,MINNEAPOLIS W-6 P-09,341,73.81,476,80,148,7,32.26,59.68,2.82,282,556,88.53,632,294,740,129,36,24.24,61.01,10.63,2.97,1213
1655,MINNEAPOLIS W-7 P-01,249,48.82,518,162,63,13,66.94,26.03,5.37,282,332,58.04,575,460,200,163,99,49.04,21.32,17.38,10.55,938
1660,MINNEAPOLIS W-7 P-02,187,22.37,856,243,44,28,74.77,13.54,8.62,403,220,24.89,888,947,77,88,68,79.71,6.48,7.41,5.72,1188
1665,MINNEAPOLIS W-7 P-03,450,44.25,1042,280,181,33,55.56,35.91,6.55,581,540,50.28,1084,874,429,176,130,53.59,26.3,10.79,7.97,1631
1670,MINNEAPOLIS W-7 P-04,281,29.39,1005,341,84,34,72.71,17.91,7.25,591,429,38.3,1132,1146,278,132,121,67.25,16.31,7.75,7.1,1704
1675,MINNEAPOLIS W-7 P-05,290,49.74,601,185,109,18,56.75,33.44,5.52,370,361,58.04,633,483,399,114,65,44.03,36.37,10.39,5.93,1097
1680,MINNEAPOLIS W-7 P-06,162,62.55,277,73,70,4,47.4,45.45,2.6,192,218,67.49,329,281,276,78,81,38.08,37.4,10.57,10.98,738
1685,MINNEAPOLIS W-7 P-07,187,36.67,520,169,44,17,72.22,18.8,7.26,280,242,42.16,578,534,99,90,98,64.65,11.99,10.9,11.86,826
1690,MINNEAPOLIS W-7 P-08,476,41.43,1190,427,185,29,65.69,28.46,4.46,746,728,57.1,1289,1025,586,227,163,50.27,28.74,11.13,7.99,2039
1695,MINNEAPOLIS W-7 P-09,413,44.94,929,290,220,28,52.82,40.07,5.1,605,588,56.48,1047,760,442,180,133,49.58,28.83,11.74,8.68,1533
1700,MINNEAPOLIS W-7 P-10,132,73.33,187,47,74,6,35.34,55.64,4.51,146,147,75.0,200,113,207,45,18,28.54,52.27,11.36,4.55,396
1705,MINNEAPOLIS W-7 P-11,66,52.38,138,46,20,4,64.79,28.17,5.63,89,78,63.93,125,168,49,23,24,61.76,18.01,8.46,8.82,272
1710,MINNEAPOLIS W-7 P-12,205,52.97,400,113,73,12,55.66,35.96,5.91,253,256,61.69,422,407,275,89,95,46.41,31.36,10.15,10.83,877
1715,MINNEAPOLIS W-8 P-01,259,58.86,455,61,85,9,37.42,52.15,5.52,196,270,67.33,405,309,339,39,34,41.98,46.06,5.3,4.62,736
1720,MINNEAPOLIS W-8 P-02,687,73.16,952,228,324,14,39.18,55.67,2.41,626,738,78.68,942,431,798,268,167,25.52,47.25,15.87,9.89,1689
1725,MINNEAPOLIS W-8 P-03,748,73.41,1050,284,248,19,50.27,43.89,3.36,630,777,77.78,1006,481,585,308,252,28.94,35.2,18.53,15.16,1662
1730,MINNEAPOLIS W-8 P-04,872,63.6,1402,431,255,41,58.01,34.32,5.52,853,964,70.73,1373,830,541,423,462,36.13,23.55,18.42,20.11,2297
1735,MINNEAPOLIS W-8 P-05,184,63.89,299,38,71,3,31.93,59.66,2.52,135,208,80.62,262,162,288,63,40,28.72,51.06,11.17,7.09,564
1740,MINNEAPOLIS W-8 P-06,163,81.91,204,45,63,3,38.46,53.85,2.56,133,176,80.73,221,92,202,60,31,23.41,51.4,15.27,7.89,393
1745,MINNEAPOLIS W-8 P-07,401,70.97,574,185,157,7,51.68,43.85,1.96,387,457,77.2,597,325,388,200,141,30.18,36.03,18.57,13.09,1077
1750,MINNEAPOLIS W-8 P-08,417,61.5,697,211,120,10,59.44,33.8,2.82,407,472,70.66,677,442,307,218,174,37.91,26.33,18.7,14.92,1166
1755,MINNEAPOLIS W-8 P-09,248,51.24,496,169,52,13,71.01,21.85,5.46,271,250,56.43,447,339,172,152,93,44.14,22.4,19.79,12.11,768
1760,MINNEAPOLIS W-8 P-10,414,73.4,582,128,188,9,38.67,56.8,2.72,368,414,78.71,532,237,358,193,144,24.95,37.68,20.32,15.16,950
1765,MINNEAPOLIS W-8 P-11,339,61.41,560,153,129,14,51.0,43.0,4.67,349,369,72.35,517,329,266,173,144,35.26,28.51,18.54,15.43,933
1770,MINNEAPOLIS W-9 P-01,133,76.44,184,29,65,2,28.43,63.73,1.96,117,140,83.33,169,71,177,45,19,22.54,56.19,14.29,6.03,315
1775,MINNEAPOLIS W-9 P-02,769,79.44,984,257,390,13,37.68,57.18,1.91,723,839,86.41,973,318,867,308,142,19.09,52.04,18.49,8.52,1666
1780,MINNEAPOLIS W-9 P-03,211,66.77,333,55,128,9,27.64,64.32,4.52,224,324,79.41,415,240,508,83,46,26.32,55.7,9.1,5.04,912
1785,MINNEAPOLIS W-9 P-04,150,71.77,214,36,96,7,25.35,67.61,4.93,161,225,84.27,270,134,258,56,36,26.53,51.09,11.09,7.13,505
1790,MINNEAPOLIS W-9 P-05,257,85.95,315,60,132,4,29.7,65.35,1.98,227,299,86.92,347,87,309,107,35,15.62,55.48,19.21,6.28,557
1795,MINNEAPOLIS W-9 P-06,583,72.24,844,187,250,22,39.37,52.63,4.63,533,662,79.19,856,396,643,238,98,27.87,45.25,16.75,6.9,1421
1800,MINNEAPOLIS W-9 P-07,339,70.33,492,112,189,7,35.56,60.0,2.22,343,395,77.76,512,225,340,166,85,26.79,40.48,19.76,10.12,840
1805,MINNEAPOLIS W-9 P-08,393,73.73,550,146,153,9,45.63,47.81,2.81,369,458,84.35,553,257,420,190,98,25.93,42.38,19.17,9.89,991
1810,MINNEAPOLIS W-9 P-09,477,66.99,740,217,159,15,53.98,39.55,3.73,460,531,73.85,730,371,335,312,111,31.68,28.61,26.64,9.48,1171
1815,MINNEAPOLIS W-10 P-01,724,74.18,994,214,432,14,31.15,62.88,2.04,765,944,77.06,1232,481,1121,332,163,22.48,52.38,15.51,7.62,2140
1820,MINNEAPOLIS W-10 P-02,299,75.13,408,73,124,4,34.27,58.22,1.88,236,329,79.09,418,230,622,138,99,20.63,55.78,12.38,8.88,1115
1825,MINNEAPOLIS W-10 P-03,397,47.6,865,250,144,28,57.34,33.03,6.42,501,478,53.53,899,719,529,196,129,45.25,33.29,12.33,8.12,1589
1830,MINNEAPOLIS W-10 P-04,410,69.85,602,166,221,19,39.52,52.62,4.52,460,452,72.32,636,314,588,178,110,25.82,48.36,14.64,9.05,1216
1835,MINNEAPOLIS W-10 P-05,441,64.1,706,191,208,14,44.73,48.71,3.28,479,569,73.42,786,394,606,221,156,28.08,43.19,15.75,11.12,1403
1840,MINNEAPOLIS W-10 P-06,495,79.07,644,99,260,9,25.38,66.67,2.31,420,513,84.38,613,269,783,154,119,19.97,58.13,11.43,8.83,1347
1845,MINNEAPOLIS W-10 P-07,257,71.39,375,68,159,4,27.2,63.6,1.6,270,295,73.38,408,186,449,104,59,22.63,54.62,12.65,7.18,822
1850,MINNEAPOLIS W-10 P-08,228,66.86,348,30,107,3,21.13,75.35,2.11,158,224,81.45,279,146,392,44,29,23.06,61.93,6.95,4.58,633
1855,MINNEAPOLIS W-10 P-09,401,74.12,561,97,225,15,26.43,61.31,4.09,400,437,84.69,523,218,654,117,57,20.26,60.78,10.87,5.3,1076
1860,MINNEAPOLIS W-11 P-01,358,47.42,768,255,99,19,66.93,25.98,4.99,461,396,52.59,756,648,220,186,208,50.51,17.15,14.5,16.21,1283
1865,MINNEAPOLIS W-11 P-02,403,43.38,982,360,71,34,75.16,14.82,7.1,590,444,47.95,940,889,236,174,184,57.65,15.3,11.28,11.93,1542
1870,MINNEAPOLIS W-11 P-03,300,53.96,594,190,74,11,66.9,26.06,3.87,360,360,62.28,590,545,272,144,141,48.32,24.11,12.77,12.5,1128
1875,MINNEAPOLIS W-11 P-04,300,43.42,711,212,71,26,67.52,22.61,8.28,390,322,49.46,657,585,168,154,210,51.63,14.83,13.59,18.53,1133
1880,MINNEAPOLIS W-11 P-05,259,42.88,656,194,70,26,65.1,23.49,8.72,409,284,50.18,581,529,176,123,173,50.96,16.96,11.85,16.67,1038
1885,MINNEAPOLIS W-11 P-06,335,58.36,592,185,95,15,61.46,31.56,4.98,344,393,67.41,587,377,249,185,169,37.36,24.68,18.34,16.75,1009
1890,MINNEAPOLIS W-11 P-07,341,48.16,738,256,90,17,69.19,24.32,4.59,442,412,56.91,728,581,196,191,158,50.61,17.07,16.64,13.76,1148
1895,MINNEAPOLIS W-11 P-08,538,48.12,1172,356,146,28,66.54,27.29,5.23,647,582,55.01,1068,952,302,241,281,52.86,16.77,13.38,15.6,1801
1900,MINNEAPOLIS W-11 P-09,332,45.67,761,216,52,15,74.48,17.93,5.17,382,329,49.7,675,693,193,144,167,56.43,15.72,11.73,13.6,1228
1905,MINNEAPOLIS W-11 P-10,295,51.39,619,204,85,18,65.18,27.16,5.75,402,308,56.51,551,443,184,151,224,42.88,17.81,14.62,21.68,1033
1910,MINNEAPOLIS W-11 P-11,189,56.59,376,107,41,4,69.48,26.62,2.6,212,226,57.8,406,303,129,115,158,41.74,17.77,15.84,21.76,726
1915,MINNEAPOLIS W-11 P-12,264,55.11,518,117,69,13,56.8,33.5,6.31,288,296,59.2,512,460,252,155,170,42.55,23.31,14.34,15.73,1081
1920,MINNEAPOLIS W-12 P-01,780,58.82,1357,445,223,25,63.03,31.59,3.54,818,840,66.77,1267,857,443,551,179,41.54,21.47,26.71,8.68,2063
1925,MINNEAPOLIS W-12 P-02,673,65.4,1046,328,210,29,57.04,36.52,5.04,638,688,68.94,1001,605,379,412,186,37.72,23.63,25.69,11.6,1604
1930,MINNEAPOLIS W-12 P-03,436,65.17,699,166,147,15,49.26,43.62,4.45,392,467,72.29,651,400,314,251,133,35.97,28.24,22.57,11.96,1112
1935,MINNEAPOLIS W-12 P-04,613,65.63,984,248,211,25,49.3,41.95,4.97,583,729,73.71,1020,561,501,318,200,34.46,30.77,19.53,12.29,1628
1940,MINNEAPOLIS W-12 P-05,342,65.39,552,165,94,14,58.93,33.57,5.0,338,359,71.8,511,337,258,181,127,36.43,27.89,19.57,13.73,925
1945,MINNEAPOLIS W-12 P-06,561,56.1,1039,291,167,22,60.0,34.43,4.54,570,601,64.76,935,667,435,377,125,40.72,26.56,23.02,7.63,1638
1950,MINNEAPOLIS W-12 P-07,654,53.83,1266,452,215,24,64.3,30.58,3.41,797,746,63.27,1190,787,473,431,217,40.55,24.37,22.2,11.18,1941
1955,MINNEAPOLIS W-12 P-08,446,55.06,852,265,138,24,60.92,31.72,5.52,510,512,64.48,805,554,261,275,216,41.62,19.61,20.66,16.23,1331
1960,MINNEAPOLIS W-12 P-09,333,59.78,587,211,91,18,64.72,27.91,5.52,389,388,61.78,630,480,279,207,127,42.97,24.98,18.53,11.37,1117
1965,MINNEAPOLIS W-12 P-10,512,55.47,983,335,115,32,67.4,23.14,6.44,624,554,59.83,962,746,244,308,239,46.74,15.29,19.3,14.97,1596
1970,MINNEAPOLIS W-12 P-11,484,57.08,908,264,138,22,60.69,31.72,5.06,529,531,67.56,809,613,408,239,260,38.8,25.82,15.13,16.46,1580
1975,MINNEAPOLIS W-12 P-12,145,54.31,306,72,41,9,56.25,32.03,7.03,179,142,58.68,259,267,136,68,75,46.76,23.82,11.91,13.13,571
1980,MINNEAPOLIS W-13 P-01,329,34.2,980,330,77,30,74.66,17.42,6.79,539,371,40.24,930,932,180,140,215,62.97,12.16,9.46,14.53,1480
1985,MINNEAPOLIS W-13 P-02,254,34.6,770,239,50,22,75.87,15.87,6.98,407,258,36.19,721,703,108,122,174,62.71,9.63,10.88,15.52,1121
1990,MINNEAPOLIS W-13 P-03,314,44.79,729,248,89,25,67.57,24.25,6.81,458,369,49.66,752,673,201,124,171,56.79,16.96,10.46,14.43,1185
1995,MINNEAPOLIS W-13 P-04,258,33.25,801,267,49,25,77.84,14.29,7.29,411,311,38.73,811,804,121,112,152,66.72,10.04,9.29,12.61,1205
2000,MINNEAPOLIS W-13 P-05,249,33.79,764,253,39,21,79.56,12.26,6.6,426,255,34.74,742,851,96,123,129,69.93,7.89,10.11,10.6,1217
2005,MINNEAPOLIS W-13 P-06,224,40.58,569,175,39,18,74.79,16.67,7.69,286,224,42.91,523,516,87,112,105,62.24,10.49,13.51,12.67,829
2010,MINNEAPOLIS W-13 P-07,458,44.17,1090,321,98,28,71.18,21.73,6.21,561,475,51.13,940,988,238,209,281,56.55,13.62,11.96,16.08,1747
2015,MINNEAPOLIS W-13 P-08,365,48.99,793,251,53,20,75.38,15.92,6.01,430,389,54.71,724,827,216,191,173,57.67,15.06,13.32,12.06,1434
2020,MINNEAPOLIS W-13 P-09,344,47.25,761,235,63,23,71.43,19.15,6.99,412,390,52.99,745,797,181,146,183,59.83,13.59,10.96,13.74,1332
2025,MINNEAPOLIS W-13 P-10,336,31.49,1091,334,74,25,76.61,16.97,5.73,554,389,36.8,1063,1100,120,146,176,70.92,7.74,9.41,11.35,1551
2030,MINNEAPOLIS W-13 P-11,459,34.1,1368,409,75,39,76.88,14.1,7.33,695,516,38.42,1347,1308,186,193,266,66.4,9.44,9.8,13.5,1970
2035,MINNEAPOLIS W-13 P-12,225,39.54,585,152,56,11,67.56,24.89,4.89,282,243,45.42,540,510,99,94,114,61.89,12.01,11.41,13.84,824
2040,MINNEAPOLIS W-13 P-13,318,51.96,631,233,113,17,61.8,29.97,4.51,424,361,58.89,616,442,247,148,156,43.21,24.14,14.47,15.25,1023
